vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,Rate_Code,store_and_forward,End_Lon,End_Lat,Payment_Type,Fare_Amt,surcharge,mta_tax,Tip_Amt,Tolls_Amt,Total_Amt
CMT,2009-01-05 18:53:05,2009-01-05 19:00:27,1,1.4,-73.95868199999998,40.783139,,,-73.96133299999998,40.768295,Cash,7.5,0.0,,0.0,0.0,7.5
CMT,2009-01-05 19:04:42,2009-01-05 19:08:23,1,1.0,-73.993521,40.762266,,,-73.98886799999998,40.774337,Cash,5.5,0.0,,0.0,0.0,5.5
CMT,2009-01-05 19:39:26,2009-01-05 19:49:41,2,1.9,-73.99394499999998,40.746683,,,-73.988737,40.727086,Credit,9.1,0.0,,1.82,0.0,10.92
CMT,2009-01-05 19:48:40,2009-01-05 19:52:46,1,0.8,-73.963949,40.770452,,,-73.959548,40.780016,Cash,5.5,0.0,,0.0,0.0,5.5
CMT,2009-01-05 20:37:46,2009-01-05 20:57:20,1,5.6,-73.979883,40.748998,,,-73.974006,40.677958,Cash,17.0,0.0,,0.0,0.0,17.0
CMT,2009-01-05 20:49:46,2009-01-05 21:00:34,2,2.0,-73.993437,40.751452,,,-73.978722,40.776476,Cash,9.0,0.0,,0.0,0.0,9.0
DDS,2009-01-05 19:49:25,2009-01-05 21:10:05,1,1.8,-73.90784399999998,40.74193,,,-73.90049999999998,40.745033,CASH,6.5,1.0,,0.0,0.0,7.5
VTS,2009-01-05 21:05:00,2009-01-05 21:19:00,1,4.34,-73.975818,40.765693,,,-74.00806199999998,40.717005,CASH,12.1,0.5,,0.0,0.0,12.6
VTS,2009-01-05 21:14:00,2009-01-05 21:21:00,1,1.64,-73.97298499999998,40.785382,,,-73.957408,40.772672,CASH,6.5,0.5,,0.0,0.0,7.0
CMT,2009-01-05 22:07:15,2009-01-05 22:17:50,2,3.1,-73.98621199999998,40.732907,,,-73.99181799999998,40.764547,Credit,10.2,0.0,,2.04,0.0,12.24
CMT,2009-01-05 22:11:53,2009-01-05 22:18:35,1,1.6,-73.983659,40.770337,,,-73.96021399999998,40.770241,Cash,7.0,0.0,,0.0,0.0,7.0
CMT,2009-01-05 22:21:00,2009-01-05 22:30:07,2,2.1,-73.978826,40.777224,,,-73.975367,40.757196,Credit,8.199999999999998,0.0,,1.0,0.0,9.2
VTS,2009-01-05 22:30:00,2009-01-05 22:33:00,1,0.92,-73.958732,40.774815,,,-73.971845,40.782163,CASH,4.5,0.5,,0.0,0.0,5.0
DDS,2009-01-05 23:55:43,2009-01-06 00:09:10,1,4.8,-73.994236,40.722682,,,-73.948209,40.778685,CASH,12.5,0.5,,0.0,0.0,13.0
CMT,2009-01-06 00:23:15,2009-01-06 00:26:49,1,1.0,-73.991614,40.740965,,,-74.005948,40.736341,Credit,5.4,0.0,,1.6,0.0,7.0
CMT,2009-01-06 01:30:09,2009-01-06 01:39:48,1,3.7,-73.949016,40.785981,,,-73.988428,40.750479,Cash,10.6,0.0,,0.0,0.0,10.6
CMT,2009-01-06 02:06:20,2009-01-06 02:09:51,1,1.2,-73.979408,40.75148,,,-73.979798,40.739282,Cash,5.4,0.0,,0.0,0.0,5.4
CMT,2009-01-06 06:07:41,2009-01-06 06:25:44,1,9.3,-73.954312,40.773098,,,-73.864738,40.770322,Cash,21.7,0.0,,0.0,4.15,25.85
CMT,2009-01-06 06:29:56,2009-01-06 06:43:37,2,4.8,-73.992177,40.735458,,,-73.94896,40.726261,Cash,14.1,0.0,,0.0,0.0,14.1
VTS,2009-01-06 07:05:00,2009-01-06 07:10:00,5,2.53,-73.95306499999998,40.771487,,,-73.969302,40.764828,CASH,8.9,0.0,,0.0,0.0,8.9
CMT,2009-01-06 07:26:38,2009-01-06 07:33:34,1,0.8,-73.991011,40.755011,,,-73.991011,40.755011,Cash,5.7,0.0,,0.0,0.0,5.7
CMT,2009-01-06 07:54:41,2009-01-06 07:59:56,1,1.0,-73.955287,40.767576,,,-73.96589299999998,40.758585,Cash,4.9,0.0,,0.0,0.0,4.9
CMT,2009-01-06 07:54:00,2009-01-06 08:02:05,1,0.9,-73.98936399999998,40.762956,,,-73.97714899999998,40.755446,Cash,6.1,0.0,,0.0,0.0,6.1
DDS,2009-01-06 07:50:21,2009-01-06 08:06:08,4,2.1,-73.959485,40.771187,,,-73.975522,40.791905,CASH,9.7,0.0,,0.0,0.0,9.7
CMT,2009-01-06 08:21:49,2009-01-06 08:36:11,1,2.9,-73.996398,40.723704,,,-73.992299,40.756524,Cash,10.5,0.0,,0.0,0.0,10.5
DDS,2009-01-06 08:42:52,2009-01-06 08:53:39,1,1.3,-73.993905,40.761608,,,-73.97267999999998,40.759348,CASH,7.3,0.0,,0.0,0.0,7.3
VTS,2009-01-06 10:09:00,2009-01-06 10:22:00,1,2.39,-73.965728,40.800577,,,-73.95585,40.77962,Credit,8.5,0.0,,1.0,0.0,9.5
CMT,2009-01-06 11:25:38,2009-01-06 11:29:30,1,0.5,-73.952444,40.78073,,,-73.957148,40.780665,Cash,4.1,0.0,,0.0,0.0,4.1
CMT,2009-01-06 11:46:19,2009-01-06 12:01:14,1,2.0,-73.983193,40.756954,,,-73.961483,40.774247,Credit,9.7,0.0,,2.42,0.0,12.12
DDS,2009-01-06 11:46:11,2009-01-06 12:06:48,1,1.3,-73.97111599999998,40.75863,,,-73.983079,40.770936,CASH,10.5,0.0,,0.0,0.0,10.5
